="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="employed",="wage",="lnwage",="employed",="wage",="lnwage",="employed",="wage",="lnwage"
="Post",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=0",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=1",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=0 # Post",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=1 # Post",="-0.0097*",="-32.1258",="-0.0020",="0.0000***",="153.4153",="0.0025",="",="",=""
="",="(0.0051)",="(128.3756)",="(0.0127)",="(0.0000)",="(155.7547)",="(0.0136)",="",="",=""
="type=1",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="type=2",="",="",="",="-0.0000***",="1.01e+04***",="0.6293***",="",="",=""
="",="",="",="",="(0.0000)",="(351.6745)",="(0.0292)",="",="",=""
="type=3",="",="",="",="-0.0000***",="-812.2414***",="-0.0160",="",="",=""
="",="",="",="",="(0.0000)",="(250.1609)",="(0.0265)",="",="",=""
="type=4",="",="",="",="-1.0000***",="",="",="",="",=""
="",="",="",="",="(0.0000)",="",="",="",="",=""
="type=1 # Post",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="type=2 # Post",="",="",="",="-0.0000",="3150.6880***",="0.1026***",="",="",=""
="",="",="",="",="(0.0000)",="(216.1842)",="(0.0272)",="",="",=""
="type=3 # Post",="",="",="",="-0.0000",="-702.5020***",="0.0290",="",="",=""
="",="",="",="",="(0.0000)",="(227.8700)",="(0.0254)",="",="",=""
="type=4 # Post",="",="",="",="-0.0000",="",="",="",="",=""
="",="",="",="",="(0.0000)",="",="",="",="",=""
="Treated (Molise)=0 # type=1",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=0 # type=2",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=0 # type=3",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=0 # type=4",="",="",="",="0.0000",="",="",="",="",=""
="",="",="",="",="(.)",="",="",="",="",=""
="Treated (Molise)=1 # type=1",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=1 # type=2",="",="",="",="-0.0000",="-560.2424",="-0.1864***",="",="",=""
="",="",="",="",="(0.0000)",="(569.2454)",="(0.0556)",="",="",=""
="Treated (Molise)=1 # type=3",="",="",="",="-0.0000",="-1.40e+03***",="-0.1504***",="",="",=""
="",="",="",="",="(0.0000)",="(365.0741)",="(0.0435)",="",="",=""
="Treated (Molise)=1 # type=4",="",="",="",="-0.0000",="",="",="",="",=""
="",="",="",="",="(0.0000)",="",="",="",="",=""
="Treated (Molise)=0 # type=1 # Post",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=0 # type=2 # Post",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=0 # type=3 # Post",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=0 # type=4 # Post",="",="",="",="0.0000",="",="",="",="",=""
="",="",="",="",="(.)",="",="",="",="",=""
="Treated (Molise)=1 # type=1 # Post",="",="",="",="0.0000",="0.0000",="0.0000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="Treated (Molise)=1 # type=2 # Post",="",="",="",="-0.0000***",="-1.00e+03***",="-0.0053",="",="",=""
="",="",="",="",="(0.0000)",="(367.1710)",="(0.0514)",="",="",=""
="Treated (Molise)=1 # type=3 # Post",="",="",="",="-0.0000***",="-437.0635",="-0.0221",="",="",=""
="",="",="",="",="(0.0000)",="(359.4744)",="(0.0424)",="",="",=""
="Treated (Molise)=1 # type=4 # Post",="",="",="",="-0.0000",="",="",="",="",=""
="",="",="",="",="(0.0000)",="",="",="",="",=""
="event_m5",="",="",="",="",="",="",="0.0000",="0.0000",="0.0000"
="",="",="",="",="",="",="",="(.)",="(.)",="(.)"
="event_m4",="",="",="",="",="",="",="0.0251***",="-119.5611",="-0.0073"
="",="",="",="",="",="",="",="(0.0089)",="(170.0803)",="(0.0283)"
="event_m3",="",="",="",="",="",="",="-0.0001",="-348.6464**",="-0.0491*"
="",="",="",="",="",="",="",="(0.0088)",="(168.0657)",="(0.0254)"
="event_m2",="",="",="",="",="",="",="0.0039",="-23.3834",="-0.0210"
="",="",="",="",="",="",="",="(0.0073)",="(140.9725)",="(0.0220)"
="event_0",="",="",="",="",="",="",="-0.0065",="-50.7424",="-0.0159"
="",="",="",="",="",="",="",="(0.0058)",="(129.5572)",="(0.0193)"
="event_1",="",="",="",="",="",="",="-0.0075",="207.8753",="0.0009"
="",="",="",="",="",="",="",="(0.0065)",="(145.5221)",="(0.0205)"
="event_2",="",="",="",="",="",="",="-0.0042",="6.7379",="-0.0467**"
="",="",="",="",="",="",="",="(0.0070)",="(165.9869)",="(0.0223)"
="event_3",="",="",="",="",="",="",="-0.0320***",="-883.0310***",="-0.0460**"
="",="",="",="",="",="",="",="(0.0076)",="(186.5495)",="(0.0215)"
="event_4",="",="",="",="",="",="",="0.0076",="-194.8018",="-0.0196"
="",="",="",="",="",="",="",="(0.0074)",="(193.8963)",="(0.0223)"
="event_5",="",="",="",="",="",="",="0.0110",="148.3686",="0.0088"
="",="",="",="",="",="",="",="(0.0077)",="(209.0815)",="(0.0224)"
="Constant",="0.8114***",="1.61e+04***",="9.3500***",="1.0000***",="1.47e+04***",="9.2668***",="0.8098***",="1.62e+04***",="9.3566***"
="",="(0.0022)",="(94.6389)",="(0.0067)",="(0.0000)",="(96.9695)",="(0.0072)",="(0.0027)",="(99.1133)",="(0.0082)"
="Observations",="146229",="118403",="118403",="146229",="118403",="118403",="146229",="118403",="118403"
="R-squared",="0.011",="0.029",="0.025",="1.000",="0.151",="0.070",="0.011",="0.029",="0.025"
="Adjusted R-squared",="0.011",="0.029",="0.025",="1.000",="0.150",="0.070",="0.011",="0.029",="0.025"
="Model",="A: Region DiD",="A: Region DiD",="A: Region DiD",="B: DDD (Type x Quake, Base=4)",="B: DDD (Type x Quake, Base=4)",="B: DDD (Type x Quake, Base=4)",="C: Dynamic DiD",="C: Dynamic DiD",="C: Dynamic DiD"
="Outcome",="employed",="wage",="lnwage",="employed",="wage",="lnwage",="employed",="wage",="lnwage"
