treat_quake,post_quake,age_group,employed,wage,lnwage,y_private,y_public,y_self,sd_wage,N
Control,0,≤34,.76345253,10492.40302743614,8.875607302728799,.65149873,.024557602,.087396175,7001.120302624846,13845
Control,0,35-55,.86615205,17088.0184000575,9.419981257414934,.58507127,.19000186,.091078877,12718.88753411514,16063
Control,0,≥56,.78230226,15179.87987987988,9.214212125070212,.67423648,.042286608,.065779172,13842.23538835687,1277
Control,1,≤34,.76086956,12002.89156626506,9.069485103548798,.64850706,.023441592,.088920899,7481.20398414925,7636
Control,1,35-55,.8482514,18508.51107255842,9.555243187800119,.56795359,.18005539,.10024238,12949.91021372085,11552
Control,1,≥56,.72338569,17007.23763570567,9.338116834716296,.60296685,.054973822,.065445028,15218.48039789115,1146
Molise,0,≤34,.76794386,10762.59662684469,8.886475593642846,.632218,.035617918,.10010793,7533.751931997708,7412
Molise,0,35-55,.87340331,17538.24758422565,9.472429165475221,.57025546,.18966697,.11348084,12164.13706536288,8768
Molise,0,≥56,.82110089,16714.94413407821,9.321194815584988,.67431194,.058486238,.088302754,13457.39249350137,872
Molise,1,≤34,.76944166,12135.92484612893,9.077927789028566,.63160521,.033649053,.10418744,7770.015775436957,4012
Molise,1,35-55,.84094119,19023.42846483865,9.580486909949272,.5397647,.18321569,.11796078,12734.87629068137,6375
Molise,1,≥56,.76239067,19683.17399617591,9.505494290121836,.59329444,.087463558,.081632651,17702.59369761743,686
