treat_quake,post_quake,base_inc,employed,wage,lnwage,y_private,y_public,y_self,sd_wage,N
Control,0,1,.88773692,12719.53010948905,9.156678538286382,.67552245,.11222258,.099991903,7156.991348892734,24692
Control,0,2,.98452222,31024.60697197539,10.2978909356362,.68640643,.25639302,.041722745,8023.712896045879,1486
Control,0,3,.9811765,66907.91366906474,11.02004980667518,.36000001,.5411765,.079999998,21405.89107699611,425
Control,0,,.36708862,6963.912009512485,8.147917699018164,.31121781,.013967699,.041903101,7937.537962041903,4582
Control,1,1,.88540572,14409.666852523,9.330040699579431,.66504163,.11360691,.10675717,7627.523545640078,16205
Control,1,2,.97938144,34158.94736842105,10.37783644207141,.66494846,.26804122,.046391752,9771.852598721302,970
Control,1,3,.94945848,71188.97338403043,11.11799588261324,.33935019,.53790611,.072202168,21676.56049506551,277
Control,1,,.30430257,8297.719498289624,8.456594994518467,.23872311,.024982652,.040596809,8566.947970724534,2882
Molise,0,1,.89541256,13063.96109340936,9.192163446964225,.65830767,.11427284,.12283204,7291.991359400552,13319
Molise,0,2,.97938144,31601.57894736842,10.29194065922035,.66288662,.28556702,.030927835,8313.222017199396,970
Molise,0,3,.98305082,63090.51724137931,10.99869887845071,.33474576,.59745765,.050847456,18667.42180807892,236
Molise,0,,.37910566,7387.473903966597,8.18462847769308,.3102493,.015037594,.053818759,7941.185954536139,2527
Molise,1,1,.88974386,14753.45294952885,9.361873122680803,.64545768,.12013323,.12415298,7725.576569082842,8707
Molise,1,2,.96366507,34851.80327868852,10.34073140997545,.64296997,.28593996,.034755133,10368.07204474932,633
Molise,1,3,.97419357,69021.19205298013,11.04830076690449,.34193549,.60645163,.025806451,22363.20969590166,155
Molise,1,,.29340938,8133.261339092873,8.322583726581239,.1913815,.02661597,.075411916,8898.446746042826,1578
